latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
24.7,129.4,966.0,30.900000000000002
25.0,128.7,964.0,28.3
25.2,127.8,965.0,26.8
25.400000000000002,127.4,959.0,28.3
25.8,126.8,954.0,30.900000000000002
26.1,125.9,950.0,35.0
26.1,125.10000000000001,952.0,32.4
26.1,124.5,952.0,35.0
26.2,124.10000000000001,952.0,38.6
26.0,123.7,954.0,37.6
26.0,123.3,954.0,45.300000000000004
25.8,122.60000000000001,957.0,38.1
25.400000000000002,122.9,961.0,37.0
25.400000000000002,122.9,961.0,37.6
25.400000000000002,123.8,960.0,38.6
26.5,124.7,960.0,35.0
27.6,124.9,962.0,32.4
28.400000000000002,125.0,962.0,32.9
28.900000000000002,124.8,963.0,29.3
29.0,124.3,964.0,29.3
28.8,124.60000000000001,964.0,27.8
28.900000000000002,125.2,962.0,29.3
29.1,125.5,958.0,30.900000000000002
29.400000000000002,126.0,955.0,30.900000000000002
29.6,126.10000000000001,955.0,29.3
29.6,126.4,955.0,29.3
29.5,126.9,958.0,29.8
29.7,127.9,960.0,31.400000000000002
30.400000000000002,129.0,964.0,27.8
31.0,130.2,966.0,27.8
31.8,131.5,970.0,24.700000000000003
32.7,132.3,967.0,26.200000000000003
34.2,133.4,971.0,20.6
36.2,134.3,972.0,24.700000000000003
37.9,134.3,972.0,24.200000000000003
39.7,134.2,972.0,22.6
41.5,134.8,976.0,21.6
43.5,135.3,983.0,18.0
46.2,133.8,989.0,14.4
