latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
20.7,91.8,991.0,17.5
23.0,90.60000000000001,991.0,18.0
23.0,89.5,989.0,18.0
23.1,89.4,991.0,14.9
23.900000000000002,88.3,990.0,13.9
24.3,87.10000000000001,992.0,13.4
24.900000000000002,85.7,989.0,11.8
23.6,85.5,992.0,12.9
23.7,85.10000000000001,992.0,12.9
23.7,85.0,993.0,12.4
24.7,85.4,994.0,12.9
24.8,85.5,993.0,12.4
25.2,84.9,995.0,9.8
25.3,84.0,994.0,8.8
25.3,83.9,997.0,7.2
25.6,84.0,997.0,6.2
25.5,85.5,999.0,10.8
25.1,86.7,997.0,11.3
27.0,84.3,999.0,7.2
