latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
14.9,-104.7,100800.0,13.4
15.1,-106.4,101000.0,11.8
15.5,-107.8,100800.0,11.8
15.700000000000001,-109.4,100300.0,20.6
15.9,-110.7,100400.0,14.4
16.4,-112.8,100900.0,13.9
15.6,-114.7,99900.0,26.200000000000003
15.3,-116.10000000000001,100300.0,21.1
14.8,-117.5,100000.0,17.0
14.5,-118.9,100300.0,18.5
14.5,-120.3,100100.0,16.0
14.3,-121.5,100300.0,17.5
14.4,-123.3,100100.0,19.6
14.0,-124.2,100300.0,17.0
13.700000000000001,-125.8,99800.0,24.200000000000003
13.8,-127.3,100100.0,22.6
13.6,-128.7,100000.0,16.0
13.4,-130.3,100300.0,18.0
13.4,-131.9,99900.0,18.5
13.1,-133.5,100200.0,19.0
13.0,-135.3,100000.0,19.6
12.6,-136.9,100300.0,19.6
12.3,-138.6,100100.0,18.5
12.3,-140.1,100300.0,20.1
12.1,-141.20000000000002,100000.0,19.6
11.8,-142.4,100100.0,20.1
11.6,-143.8,100000.0,20.1
11.200000000000001,-145.20000000000002,100100.0,21.6
11.200000000000001,-146.20000000000002,100000.0,18.5
10.9,-147.6,100200.0,19.0
10.9,-148.9,100100.0,19.0
10.8,-150.4,100400.0,18.5
11.0,-151.9,100200.0,19.6
11.200000000000001,-153.3,100400.0,19.0
11.8,-154.5,100300.0,20.1
11.9,-155.70000000000002,100300.0,20.6
12.4,-156.8,100300.0,18.5
12.9,-158.0,100600.0,18.5
13.3,-159.20000000000002,100500.0,15.4
14.200000000000001,-160.5,100700.0,16.5
14.700000000000001,-162.0,100700.0,17.0
