latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
14.9,-104.8,100800.0,14.4
15.3,-107.10000000000001,100900.0,13.4
15.5,-108.7,100500.0,16.5
15.200000000000001,-110.4,100600.0,17.5
15.3,-111.9,100300.0,16.0
15.3,-113.4,100600.0,16.5
15.200000000000001,-114.7,100200.0,18.0
14.9,-116.10000000000001,100400.0,19.0
14.6,-117.5,100100.0,19.0
14.3,-119.0,100300.0,19.6
14.0,-120.4,100100.0,18.0
13.8,-121.8,100200.0,20.1
13.8,-123.2,100100.0,18.0
13.3,-124.5,100500.0,18.0
12.9,-125.8,99900.0,21.1
12.5,-126.8,100500.0,17.5
12.1,-128.3,100400.0,16.0
11.700000000000001,-129.8,100600.0,16.0
11.4,-131.4,100300.0,15.4
11.200000000000001,-132.8,100700.0,14.9
10.9,-134.4,100500.0,14.4
10.700000000000001,-136.0,100800.0,14.4
10.700000000000001,-137.70000000000002,100600.0,13.9
10.200000000000001,-143.70000000000002,100900.0,13.9
8.8,-150.5,100700.0,13.9
8.5,-154.9,100900.0,11.8
8.4,-156.8,101000.0,12.9
8.1,-158.0,100800.0,13.4
6.5,-163.0,100800.0,12.4
7.9,-164.70000000000002,100700.0,12.9
9.1,-166.4,100800.0,11.8
7.9,-167.6,100800.0,11.8
8.9,-169.1,100800.0,12.9
9.8,-170.70000000000002,100900.0,14.9
9.8,-171.8,100800.0,11.3
